fkod	moziazon
1	8
1	24
2	37
3	21
3	24
4	21
5	27
6	21
7	24
7	39
8	21
9	27
10	27
11	27
12	24
13	24
13	26
13	39
14	27
15	3
15	24
15	32
15	38
15	39
16	12
17	3
17	6
17	13
18	3
19	24
20	9
20	12
20	13
20	14
20	15
20	20
20	26
20	28
20	29
20	30
20	31
20	32
20	41
21	6
21	7
21	9
21	12
21	13
21	14
21	15
21	20
21	28
21	29
21	30
21	31
22	3
23	36
24	36
25	27
26	24
27	6
27	12
27	13
27	14
27	28
27	29
27	31
28	9
28	12
28	13
28	14
28	20
28	29
28	30
28	31
28	32
29	39
30	30
31	3
32	12
32	14
32	16
33	3
34	3
35	24
36	3
37	3
37	36
38	24
38	42
39	16
40	7
40	9
40	12
40	13
40	15
40	28
40	29
40	30
40	31
41	21
42	41
43	3
43	38
43	41
44	12
44	13
45	29
45	39
45	41
46	12
46	13
46	14
46	28
46	29
46	31
47	20
47	39
47	42
48	6
48	7
48	9
48	12
48	13
48	14
48	15
48	20
48	28
48	29
48	30
48	31
49	37
50	8
50	24
51	26
51	37
51	39
52	27
53	6
53	13
53	15
53	28
53	29
53	31
54	3
55	16
55	24
55	32
56	38
57	36
58	16
59	21
60	41
61	16
61	24
61	29
61	37
61	39
61	41
61	42
62	27
63	27
64	24
65	24
66	28
66	29
66	30
66	31
67	24
68	27
69	21
69	36
70	21
71	3
71	21
72	6
72	7
72	9
72	12
72	13
72	14
72	15
72	20
72	28
72	29
72	30
72	31
73	21
74	6
74	9
74	12
74	13
74	14
74	15
74	28
74	29
74	30
74	31
74	32
75	41
76	42
77	21
78	3
79	37
80	37
80	38
81	16
81	29
82	8
83	21
84	12
84	21
84	37
84	41
85	20
86	24
87	27
88	8
89	21
89	38
90	24
91	24
91	26
91	38
92	3
92	24
93	26
93	38
93	41
94	39
95	24
95	36
96	21
97	6
97	7
97	9
97	12
97	13
97	14
97	15
97	28
97	29
97	30
97	31
98	24
98	36
98	39
98	41
98	42
99	39
100	38
101	21
101	28
101	39
102	27
103	12
104	41
105	24
105	26
105	30
105	38
105	41
105	42
106	37
107	24
107	26
107	42
108	24
108	37
109	12
109	13
109	14
110	24
110	26
110	32
110	36
110	39
111	21
112	3
112	21
113	21
114	41
115	27
116	3
116	24
117	24
117	26
117	39
118	21
119	39
120	8
121	21
122	38
123	24
123	32
123	41
124	26
125	24
126	21
127	24
128	6
128	9
128	12
128	13
128	14
128	28
128	29
128	30
128	31
129	37
130	27
131	24
132	24
133	26
134	21
134	38
135	27
136	16
136	24
136	32
136	41
136	42
137	38
138	16
139	37
139	41
140	21
141	3
141	41
142	24
143	38
144	9
144	13
144	24
144	29
144	30
144	41
145	24
146	38
147	27
148	21
149	21
150	6
150	12
150	13
150	14
150	36
151	27
152	37
153	12
153	16
153	41
154	21
154	24
154	37
